Name,Age,Income,Employment_Status,Loan_Amount,Credit_Score,Debt_To_Income,Loan_Term,Address,Contact_Info,Eligibility
User_0,59,29018,Employed,21184,472,0.31,12,Address_0,user0@email.com,Needs Review
User_1,49,36302,Self-Employed,38787,461,0.46,24,Address_1,user1@email.com,Eligible
User_2,35,92506,Self-Employed,26621,562,0.46,12,Address_2,user2@email.com,Not Eligible
User_3,63,66157,Employed,15028,573,0.43,12,Address_3,user3@email.com,Eligible
User_4,28,79917,Self-Employed,17448,302,0.3,24,Address_4,user4@email.com,Eligible
User_5,41,117738,Employed,39051,327,0.39,36,Address_5,user5@email.com,Eligible
User_6,59,121646,Employed,35447,625,0.31,60,Address_6,user6@email.com,Not Eligible
User_7,39,108122,Employed,23394,448,0.45,24,Address_7,user7@email.com,Eligible
User_8,43,49519,Employed,39501,839,0.26,36,Address_8,user8@email.com,Needs Review
User_9,31,121809,Self-Employed,35254,787,0.49,24,Address_9,user9@email.com,Eligible
User_10,31,112487,Employed,23509,737,0.47,36,Address_10,user10@email.com,Eligible
User_11,44,81819,Employed,19472,364,0.4,24,Address_11,user11@email.com,Eligible
User_12,56,105910,Self-Employed,8471,655,0.21,36,Address_12,user12@email.com,Not Eligible
User_13,60,145430,Self-Employed,46796,832,0.15,24,Address_13,user13@email.com,Not Eligible
User_14,44,96324,Unemployed,35268,551,0.44,36,Address_14,user14@email.com,Eligible
User_15,23,30408,Self-Employed,13329,534,0.17,24,Address_15,user15@email.com,Not Eligible
User_16,42,84379,Self-Employed,39865,526,0.44,60,Address_16,user16@email.com,Eligible
User_17,22,50053,Unemployed,33272,824,0.3,60,Address_17,user17@email.com,Not Eligible
User_18,44,34446,Self-Employed,47845,612,0.26,12,Address_18,user18@email.com,Not Eligible
User_19,64,25922,Self-Employed,11397,348,0.46,36,Address_19,user19@email.com,Eligible
User_20,50,123723,Self-Employed,37373,417,0.34,24,Address_20,user20@email.com,Eligible
User_21,58,76356,Self-Employed,40525,353,0.33,36,Address_21,user21@email.com,Needs Review
User_22,22,35789,Unemployed,29570,343,0.32,60,Address_22,user22@email.com,Not Eligible
User_23,41,122720,Self-Employed,23284,352,0.25,36,Address_23,user23@email.com,Eligible
User_24,53,91656,Self-Employed,23994,824,0.41,24,Address_24,user24@email.com,Eligible
User_25,32,69028,Unemployed,28284,401,0.2,36,Address_25,user25@email.com,Eligible
User_26,42,89484,Employed,22833,697,0.48,24,Address_26,user26@email.com,Eligible
User_27,64,57154,Unemployed,30122,437,0.46,60,Address_27,user27@email.com,Not Eligible
User_28,45,107870,Employed,10017,686,0.23,60,Address_28,user28@email.com,Not Eligible
User_29,47,27336,Unemployed,21370,410,0.39,60,Address_29,user29@email.com,Eligible
User_30,62,128677,Unemployed,34252,316,0.33,12,Address_30,user30@email.com,Eligible
User_31,48,92779,Self-Employed,12999,481,0.24,60,Address_31,user31@email.com,Eligible
User_32,36,44029,Employed,27436,835,0.5,36,Address_32,user32@email.com,Eligible
User_33,35,84201,Self-Employed,47963,840,0.11,12,Address_33,user33@email.com,Eligible
User_34,64,57265,Employed,7096,470,0.2,60,Address_34,user34@email.com,Eligible
User_35,23,127916,Unemployed,30279,708,0.31,36,Address_35,user35@email.com,Eligible
